,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
261,314,,0.3922,0.316358333,0.424146667,0.267383333,0.431933333,0.46386,0.45636
262,71,,,0.46901,0.363609524,0.3878,0.51599,0.304185714,0.417293333
263,552,,,,0.45566,,0.5429,0.5297,
264,325,,,,,,0.337642857,,
265,543,,,0.429416667,0.317390476,0.340533333,0.309483333,0.309286667,
266,518,,0.3005,0.32145,0.315726667,0.6637,0.5066,,
267,395,,,0.300238889,0.422441667,0.3296,0.321421429,0.57104,0.603
268,462,,,0.3248,0.3616,0.315205556,0.427608333,0.21286,0.22342
269,408,,,,0.224514286,0.335957143,0.291290476,0.324891667,0.4858
270,347,,,0.329446667,0.353252381,0.38755,0.363871429,0.3715,
271,255,,,,,0.6624,0.691033333,0.470833333,
272,51,,0.1748,0.257989286,0.219638095,0.195958333,0.225683333,0.3911,0.2364
273,326,,,,0.344683333,,0.374066667,0.262966667,
274,249,,,0.28528,0.289960714,0.47595,0.386871111,,
275,180,,,0.2633,0.324266667,,0.3055,,
276,252,,,0.340285714,0.468786667,0.2871,,0.3519,
277,402,,,0.4741,0.285280952,0.341386667,0.331486667,0.3334,
278,528,,,0.284366667,0.36547,0.33757619,0.29922,0.52362,
279,181,,,0.2391,0.327097778,0.228835714,0.5295,,
280,99,,,0.46784,0.399206667,0.34418,0.4237,,0.342983333
281,148,,0.3618,0.241833333,0.274447619,0.123,0.582033333,0.333566667,0.426435714
282,126,,,,0.24505,0.5394,0.402904762,0.425253571,0.47672
283,117,,,0.39232,0.363619048,0.36693,0.48099,0.346166667,0.418066667
284,522,,,,0.1004,0.7508,0.57076,,
285,302,,,0.474266667,0.25773,0.153916667,0.474683333,0.2972,0.512393333
286,10,,,0.5299,0.279010714,0.28845,,0.410166667,
287,424,,0.4007,0.345752381,,0.44255,0.581916667,0.447573333,0.457
288,55,,,0.149733333,0.225666667,0.354653333,0.342019048,0.42638,
289,270,,,0.494433333,0.24563,0.2527,0.427083333,0.45172,0.606633333
290,400,,,0.2976,0.357333333,,,0.155466667,0.330033333
291,95,,,,0.339338095,0.475521429,0.392488889,0.404757143,0.307083333
