,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
388,523,,0.0717,,0.5341,0.2524,0.6398,0.510233333,0.772333333
389,269,,0.374816667,0.296033333,0.316,,,,
390,333,,0.16915,0.28238,0.293166667,0.5085,0.5457,0.456,0.504963889
391,453,,,0.48511,0.260785714,0.257485714,0.24584,0.479083333,0.462826667
392,445,,,0.406713889,0.548161111,0.26675,,,
393,109,,,0.220133333,0.386633333,0.2237,0.615272222,,
394,347,,,0.42364,0.368228571,0.260216667,0.386719048,0.631366667,
395,29,,,0.29281,0.1758,0.418133333,0.27835,0.28631,0.4825
396,33,,0.2315,0.335033333,0.451996429,0.441661905,0.1524,0.3259,
397,95,,,,0.286585714,0.500117857,0.427928889,0.569296429,0.496533333
398,199,,0.4326,0.373010714,0.20013,0.295866667,0.505366667,0.5509,0.526133333
399,273,,0.3713,0.366233333,0.378533333,,,,0.2935
400,23,,,0.357414286,0.308533333,0.2913,0.318866667,0.398589286,0.589077778
401,312,,,0.252042857,0.510285714,0.516293333,0.300166667,0.417352381,0.565866667
402,515,,,0.235660714,0.46768,0.47658,0.371395238,0.605016667,
403,478,,,0.4549,0.376016667,0.31538,0.4836,0.331266667,0.475171429
404,113,,,,0.411983333,0.358104762,0.652457143,0.331066667,
405,82,,,0.5428,0.221266667,0.257966667,0.665766667,0.47,0.570924359
406,131,,,0.324614286,0.364617857,0.700019048,0.760363889,0.6508,
407,300,,,0.292083333,0.29493,,,,
408,511,,,,0.38031,0.419592857,0.375353333,0.304966667,
409,111,,,,0.4889,0.423962222,0.389264286,0.35267,0.45968
410,440,,0.321066667,0.5149,,0.5839,0.274783333,0.497033333,0.311033333
411,222,,,,0.361146667,0.329903571,0.243666667,,
412,71,,,0.48526,0.372685714,0.3857,0.45653,0.317753571,0.44394
413,8,,,,,,,0.351933333,0.392673333
414,524,,0.5119,,,0.43418,0.36945,,
415,230,,0.0006,0.258796429,0.380346667,0.37786,0.21993,,
416,130,,,0.33467,0.439135556,0.51166,0.530414286,0.382916667,
